"226,1910221"
"159,0291253"
"202,0575298"
"160,4540573"
"134,8856855"
"231,4099263"
"242,3037098"
"245,2662924"
"176,4705819"
"205,2981526"
"195,920354"
"253,7589801"
"274,4055336"
"323,3934649"
"132,9778037"
"137,6429759"
"329,0366782"
"173,5795495"
"154,8366481"
"151,9387792"
"252,7182076"
"290,3560043"
"215,6207457"
"166,6527528"
"247,452101"
"159,2805856"
"141,7832104"
"12,69310606"
"160,580006"
"196,5019071"
"171,5324134"
"221,4160413"
"161,3806466"
"239,2828498"
"185,1342312"
"243,742561"
"127,1214484"
"150,5267105"
"110,7088146"
"245,4626963"
"285,6750047"
"184,5028618"
"234,8707547"
"91,17006436"
"203,26896"
"194,6576885"
"223,2939996"
"145,9251544"
"219,3517783"
"135,5243624"
"75,73510689"
"208,4116793"
"129,9467147"
"181,8436756"
"179,8766719"
"250,2618144"
"119,97317"
"107,9635978"
"122,9594312"
"234,8115899"
"206,7245358"
"246,2606691"
"205,1833875"
"242,5098725"
"281,0620409"
"184,9909212"
"144,6387268"
"114,141028"
"252,9183356"
"206,7406346"
"245,6724976"
"178,2428675"
"185,5100336"
"179,4228762"
"239,5208017"
"191,2663767"
"227,8901632"
"148,8136016"
"210,4025906"
"175,8159666"
"242,0464594"
"189,7006232"
"162,8930838"
"247,563057"
"314,1829417"
"247,7323623"
"122,2240547"
"182,2062088"
"271,3291126"
"222,1041946"
"182,7738317"
"213,1906264"
"193,6357299"
"97,52101499"
"303,278506"
"231,023455"
"213,9244759"
"209,0031979"
"213,869577"
"224,2944048"
"162,0553938"
"151,3376798"
"294,5148025"
"245,2106617"
"238,6707076"
"176,2486267"
"237,6853085"
"133,3722899"
"89,11317571"
"218,200801"
"213,2488123"
"168,8029539"
"224,5814352"
"218,5616144"
"310,2814469"
"226,6083072"
"245,6957418"
"270,2620227"
"178,8589571"
"237,8660922"
"289,4535128"
"226,7366776"
"197,2351522"
"183,84438"
"160,7832836"
"241,3783013"
"289,7893243"
"106,5741377"
"223,7002697"
"193,4936853"
"166,4209087"
"209,1546935"
"165,6488421"
"217,8705311"
"244,0194063"
"168,7826346"
"196,2356341"
"131,5283287"
"170,2146229"
"192,6762661"
"214,6481782"
"254,257506"
"194,8020982"
"182,596262"
"186,1678097"
"163,028157"
"224,031508"
"184,9641679"
"229,4078114"
"254,1939198"
"101,1352537"
"217,5236918"
"266,9141948"
"204,3447384"
"119,3007009"
"154,7613126"
"214,5669649"
"166,7282664"
"187,2494403"
"196,7572979"
"181,9726376"
"233,7944919"
"225,8481114"
"158,3559719"
"131,6056981"
"173,4643697"
"257,3834151"
"276,9539661"
"172,2554622"
"220,2355977"
"231,4029975"
"130,7511056"
"257,2442723"
"212,7803775"
"246,0267172"
"125,0125677"
"169,792144"
"138,1684388"
"195,2761374"
"216,0338012"
"220,8875642"
"120,2277667"
"119,7717989"
"171,3940433"
"222,4256999"
"107,1702092"
"274,3351114"
"221,9512838"
"194,0999219"
"223,0576911"
"252,4604493"
"281,4797128"
"208,1267929"
"183,9436726"
"217,7897452"
"254,8794132"
"223,082943"
"156,2409412"
"205,2555909"
"10,7427686"
"189,1621099"
